Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude
Buteo nitidus,Accipitridae,Accipitriformes,30.3,11.2,15.3,64.6,247.3,27.5,170.6,519.0,Forest,Carnivore,Vertivore,Insessorial,1.0,10412658.23,-27.61,12.46,-57.82,-6.6
Buteo oreophilus,Accipitridae,Accipitriformes,35.1,11.4,15.3,70.9,346.0,36.0,182.5,700.0,Forest,Carnivore,Vertivore,Insessorial,1.0,674707.01,-11.21,13.65,35.38,1.09
Buteo plagiatus,Accipitridae,Accipitriformes,34.1,11.4,17.2,78.7,267.9,30.5,162.0,519.0,Forest,Carnivore,Vertivore,Insessorial,1.0,1432406.12,9.36,33.17,-96.08,19.92
Buteo platypterus,Accipitridae,Accipitriformes,28.3,11.1,14.4,53.4,277.7,36.9,178.8,453.7,Forest,Carnivore,Vertivore,Insessorial,3.0,4864047.78,11.13,55.3,-87.09,42.9
Buteo refectus,Accipitridae,Accipitriformes,33.4,11.8,16.1,64.9,346.0,36.3,173.3,759.1,Grassland,Carnivore,Vertivore,Insessorial,2.0,411852.38,26.58,34.75,82.67,29.54
Buteo regalis,Accipitridae,Accipitriformes,41.3,18.3,20.2,81.6,431.0,41.3,240.6,1437.2,Grassland,Carnivore,Vertivore,Generalist,3.0,2780053.23,33.21,53.3,-108.76,43.14
Buteo ridgwayi,Accipitridae,Accipitriformes,26.5,9.8,14.2,65.8,222.5,33.4,144.2,315.0,Forest,Carnivore,Vertivore,Insessorial,1.0,210.23,18.97,19.27,-69.57,19.07
Buteo rufinus,Accipitridae,Accipitriformes,41.6,14.0,19.8,86.1,447.5,40.5,244.5,1166.2,Grassland,Carnivore,Vertivore,Generalist,3.0,8574436.83,13.22,53.66,49.85,40.86
Buteo rufofuscus,Accipitridae,Accipitriformes,39.8,13.4,17.9,84.9,413.2,33.8,190.4,1530.0,Grassland,Carnivore,Vertivore,Generalist,2.0,1533534.66,-34.84,-19.37,23.03,-28.14
Buteo socotraensis,Accipitridae,Accipitriformes,37.8,14.1,18.0,84.0,323.0,35.2,176.7,759.1,Grassland,Carnivore,Vertivore,Insessorial,2.0,3622.4,12.3,12.71,53.87,12.51
Buteo solitarius,Accipitridae,Accipitriformes,31.8,13.2,15.9,72.7,270.2,34.1,160.5,500.9,Forest,Carnivore,Vertivore,Insessorial,1.0,6957.48,18.99,20.27,-155.53,19.6
Buteo swainsoni,Accipitridae,Accipitriformes,35.3,13.6,16.6,60.7,383.7,46.6,193.6,946.6,Grassland,Carnivore,Vertivore,Insessorial,3.0,4303055.16,24.73,57.08,-107.07,40.95
Buteo trizonatus,Accipitridae,Accipitriformes,34.0,11.4,15.1,67.6,345.8,37.9,184.0,568.0,Forest,Carnivore,Vertivore,Insessorial,1.0,101450.72,-34.84,-32.2,22.91,-33.55
Buteo ventralis,Accipitridae,Accipitriformes,37.2,13.0,19.0,76.8,359.0,33.0,221.5,1190.5,Forest,Carnivore,Vertivore,Insessorial,2.0,536992.07,-55.92,-35.01,-71.73,-47.95
Buteogallus aequinoctialis,Accipitridae,Accipitriformes,36.1,11.2,16.0,73.3,316.2,24.9,147.2,657.6,Woodland,Carnivore,Aquatic predator,Insessorial,1.0,132570.12,-25.99,10.72,-47.36,-3.65
Buteogallus anthracinus,Accipitridae,Accipitriformes,39.6,12.9,17.5,78.6,355.2,30.7,206.2,975.1,Woodland,Carnivore,Aquatic predator,Insessorial,1.0,1898078.97,-3.68,34.7,-93.02,18.62
Buteogallus coronatus,Accipitridae,Accipitriformes,60.9,15.8,29.7,119.4,533.0,33.0,262.2,2950.0,Shrubland,Carnivore,Vertivore,Insessorial,2.0,4233989.28,-38.92,-9.72,-55.75,-22.07
Buteogallus gundlachii,Accipitridae,Accipitriformes,39.6,12.3,17.3,85.2,348.1,32.4,190.0,975.1,Woodland,Carnivore,Omnivore,Insessorial,1.0,14641.79,19.83,23.28,-80.11,21.78
Buteogallus lacernulatus,Accipitridae,Accipitriformes,34.8,11.7,15.5,77.2,293.8,29.6,157.0,312.0,Forest,Carnivore,Vertivore,Insessorial,1.0,139998.95,-27.15,-5.72,-41.19,-17.46
Buteogallus meridionalis,Accipitridae,Accipitriformes,36.0,11.6,18.1,93.4,416.4,31.1,217.4,808.0,Grassland,Carnivore,Vertivore,Insessorial,1.0,10432463.33,-44.24,12.46,-55.31,-12.06
Buteogallus schistaceus,Accipitridae,Accipitriformes,35.5,12.6,18.1,75.7,272.0,25.5,173.2,1000.0,Forest,Carnivore,Vertivore,Insessorial,1.0,3642728.14,-17.91,4.95,-66.17,-5.46
Buteogallus solitarius,Accipitridae,Accipitriformes,58.6,18.7,28.0,120.4,526.2,28.9,245.3,3000.0,Forest,Carnivore,Vertivore,Insessorial,1.0,998204.29,-23.22,29.01,-82.33,3.86
Buteogallus urubitinga,Accipitridae,Accipitriformes,46.0,14.6,21.9,118.4,399.7,22.0,255.6,1152.9,Woodland,Carnivore,Vertivore,Insessorial,1.0,13126253.65,-35.14,28.11,-61.52,-7.52
Chelictinia riocourii,Accipitridae,Accipitriformes,17.7,8.6,9.1,28.2,240.2,55.7,192.0,110.0,Shrubland,Carnivore,Invertivore,Aerial,1.0,5425285.72,-0.08,19.65,10.53,14.35
Chondrohierax uncinatus,Accipitridae,Accipitriformes,36.2,12.4,18.4,33.6,285.3,21.0,197.6,286.1,Forest,Carnivore,Invertivore,Insessorial,2.0,9787616.08,-27.24,26.3,-64.2,-2.71
