Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude,bio_1,bio_4,bio_5,bio_6,bio_12
Aquila africana,Accipitridae,Accipitriformes,39.4,12.8,20.4,76.6,342.2,27.4,277.8,1047.0,Woodland,Carnivore,Vertivore,Generalist,2.0,1918245.9,-8.47,9.95,13.68,1.97,23.881187438964844,71.19921875,31.466999053955078,17.046249389648438,1604.0
Aquila audax,Accipitridae,Accipitriformes,60.5,19.6,31.2,104.0,617.7,39.6,387.0,3449.9,Woodland,Carnivore,Vertivore,Generalist,2.0,7679648.03,-43.64,-8.78,134.48,-25.74,21.765541076660156,647.1749267578125,37.36825180053711,5.502749919891357,199.0
Aquila chrysaetos,Accipitridae,Accipitriformes,56.8,18.5,28.4,101.4,603.1,36.7,307.1,4248.0,Grassland,Carnivore,Vertivore,Aerial,2.0,39450257.98,6.36,71.12,38.05,50.67,6.339906215667725,1038.5723876953125,25.435749053955078,-11.133500099182129,552.0
Aquila fasciata,Accipitridae,Accipitriformes,45.7,16.2,23.7,93.2,486.8,37.3,260.0,1936.5,Rock,Carnivore,Vertivore,Aerial,2.0,5630034.84,-10.37,45.24,62.08,27.52,21.078187942504883,797.7113647460938,38.007999420166016,2.571000099182129,77.0
Aquila gurneyi,Accipitridae,Accipitriformes,55.4,16.6,21.9,99.4,544.5,33.8,365.5,3060.0,Forest,Carnivore,Vertivore,Aerial,1.0,601810.35,-10.73,2.65,140.46,-5.05,23.10084342956543,61.58436584472656,28.324499130249023,17.843000411987305,4405.0
Aquila heliaca,Accipitridae,Accipitriformes,59.0,19.8,28.4,93.7,582.2,39.5,316.2,3125.2,Woodland,Carnivore,Vertivore,Generalist,3.0,9556213.62,35.35,59.75,70.89,49.87,3.233062505722046,1420.2545166015625,28.885000228881836,-20.598501205444336,250.0
Aquila nipalensis,Accipitridae,Accipitriformes,54.1,17.7,25.2,95.1,559.6,40.5,271.4,2714.3,Grassland,Carnivore,Vertivore,Aerial,3.0,6933240.92,31.2,53.52,85.14,43.73,-6.491218566894531,969.2314453125,11.599499702453613,-26.372249603271484,366.0
Aquila rapax,Accipitridae,Accipitriformes,54.0,16.8,24.3,84.3,506.6,38.7,242.4,2236.1,Shrubland,Carnivore,Vertivore,Generalist,3.0,17572054.36,-34.31,36.93,30.52,3.92,24.32058334350586,104.08518981933594,33.38774871826172,16.383249282836914,1396.0
Aquila spilogaster,Accipitridae,Accipitriformes,44.0,14.4,22.6,91.1,427.6,35.2,254.8,1466.2,Grassland,Carnivore,Vertivore,Generalist,1.0,12423292.01,-29.06,17.46,24.33,-2.84,23.891124725341797,43.46253967285156,29.453750610351562,18.00174903869629,1601.0
Aquila verreauxii,Accipitridae,Accipitriformes,58.2,18.3,27.6,117.4,590.2,34.0,403.5,4195.0,Rock,Carnivore,Vertivore,Aerial,1.0,4020161.71,-34.84,30.44,29.12,-9.59,21.13883399963379,158.44287109375,29.4325008392334,10.973750114440918,1304.0
