Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude,bio_1,bio_4,bio_5,bio_6,bio_12
Eudyptes schlegeli,Spheniscidae,Sphenisciformes,70.7,16.4,26.9,29.7,121.0,5.2,95.2,4242.6,Marine,Carnivore,Aquatic predator,Aquatic,2.0,127.71,-54.78,-54.49,158.88,-54.63,4.315429210662842,163.6307373046875,8.5,0.9575757384300232,1004.0
Eudyptes sclateri,Spheniscidae,Sphenisciformes,66.2,17.6,27.2,29.4,111.3,5.9,94.0,5889.0,Marine,Carnivore,Aquatic predator,Aquatic,2.0,23.43,-49.72,-47.69,178.81,-49.61,8.751388549804688,256.69073486328125,15.833333015441895,2.2666666507720947,797.0
Megadyptes antipodes,Spheniscidae,Sphenisciformes,64.7,10.8,20.0,33.1,128.2,7.1,58.7,5326.2,Marine,Carnivore,Aquatic predator,Aquatic,1.0,80802.25,-52.83,-41.23,170.53,-45.92,10.384702682495117,316.095458984375,19.764286041259766,1.4014285802841187,852.0
Pygoscelis adeliae,Spheniscidae,Sphenisciformes,59.7,12.9,17.2,32.5,94.5,7.4,139.0,4847.7,Marine,Carnivore,Aquatic predator,Aquatic,2.0,148210.8,-78.19,-54.4,99.28,-70.24,-40.44933319091797,863.4010620117188,-20.68575096130371,-52.273250579833984,77.0
Spheniscus demersus,Spheniscidae,Sphenisciformes,61.5,10.1,24.3,32.3,98.5,3.7,28.5,3130.1,Marine,Carnivore,Aquatic predator,Aquatic,2.0,330067.23,-35.98,-17.07,21.46,-31.44,16.25837516784668,568.1627807617188,32.082000732421875,0.25475001335144043,191.0
Spheniscus magellanicus,Spheniscidae,Sphenisciformes,60.2,10.2,23.4,35.5,109.6,3.8,23.4,4105.1,Marine,Carnivore,Aquatic predator,Aquatic,2.0,940638.86,-56.72,-33.67,-69.55,-49.07,8.713166236877441,510.7822570800781,21.740999221801758,-2.3010001182556152,165.0
Spheniscus mendiculus,Spheniscidae,Sphenisciformes,63.9,8.0,17.5,25.9,82.8,4.8,26.1,1921.9,Marine,Carnivore,Aquatic predator,Aquatic,2.0,1040.81,-1.31,0.17,-91.4,-0.48,23.892147064208984,131.44105529785156,30.943462371826172,17.092308044433594,303.0
Aegolius acadicus,Strigidae,Strigiformes,18.2,7.0,10.5,23.6,135.2,29.8,78.0,100.7,Forest,Carnivore,Vertivore,Insessorial,3.0,5712891.95,17.47,61.96,-101.55,46.64,5.976958274841309,1205.58251953125,29.431499481201172,-17.22825050354004,429.0
Aegolius funereus,Strigidae,Strigiformes,18.2,7.9,10.5,23.4,169.1,31.5,102.5,137.2,Forest,Carnivore,Vertivore,Insessorial,2.0,23596074.83,32.16,70.23,32.73,57.12,4.428333282470703,967.6271362304688,22.31424903869629,-11.829750061035156,683.0
Aegolius harrisii,Strigidae,Strigiformes,22.0,7.6,12.4,28.1,150.1,27.1,72.9,120.0,Forest,Carnivore,Vertivore,Insessorial,1.0,1098550.77,-32.8,10.58,-53.48,-22.44,22.547332763671875,256.70013427734375,30.90250015258789,11.94124984741211,1364.0
Aegolius ridgwayi,Strigidae,Strigiformes,18.4,7.9,10.9,23.3,138.3,24.9,67.2,80.0,Forest,Carnivore,Vertivore,Insessorial,2.0,43992.75,8.78,17.36,-91.02,15.28,18.442155838012695,109.14543914794922,27.342500686645508,9.869999885559082,2476.0
Asio abyssinicus,Strigidae,Strigiformes,35.3,8.9,14.3,57.6,334.5,40.3,162.8,322.5,Forest,Carnivore,Vertivore,Aerial,1.0,153995.93,-5.26,14.1,34.82,4.65,27.27547836303711,85.36654663085938,36.58774948120117,19.172500610351562,565.0
Asio capensis,Strigidae,Strigiformes,28.1,9.7,13.4,50.9,283.2,40.2,140.8,334.0,Grassland,Carnivore,Vertivore,Generalist,1.0,7302556.68,-34.84,35.93,28.65,-10.23,22.567323684692383,207.58367919921875,32.556251525878906,10.399250030517578,1172.0
Asio clamator,Strigidae,Strigiformes,32.9,10.4,17.5,46.1,248.9,19.3,135.6,443.3,Grassland,Carnivore,Vertivore,Aerial,1.0,7163922.1,-36.81,19.05,-56.57,-14.33,23.96571922302246,81.90748596191406,31.857749938964844,14.510000228881836,1760.0
Asio flammeus,Strigidae,Strigiformes,27.3,9.0,13.0,42.5,297.2,47.5,146.5,322.6,Grassland,Carnivore,Vertivore,Aerial,3.0,39874062.36,-55.05,74.25,11.33,49.62,8.186333656311035,683.4688720703125,22.94849967956543,-3.6352500915527344,830.0
Asio madagascariensis,Strigidae,Strigiformes,33.6,11.4,17.2,42.7,256.8,31.1,147.0,322.5,Forest,Carnivore,Vertivore,Aerial,1.0,579908.5,-25.61,-11.95,46.73,-19.33,18.989093780517578,201.9325408935547,26.635250091552734,8.646750450134277,1647.0
Asio otus,Strigidae,Strigiformes,28.3,8.8,12.5,40.1,280.7,41.2,137.0,296.6,Forest,Carnivore,Vertivore,Aerial,2.0,27618929.92,27.64,70.53,26.52,50.73,7.274718761444092,836.9522094726562,23.24449920654297,-6.791999816894531,624.0
Asio stygius,Strigidae,Strigiformes,41.8,9.9,17.1,42.5,326.8,41.6,173.7,565.0,Forest,Carnivore,Vertivore,Insessorial,1.0,5017278.49,-30.54,28.77,-57.14,-14.23,24.0922908782959,90.24390411376953,31.56800079345703,13.955249786376953,1803.0
Athene blewitti,Strigidae,Strigiformes,20.0,8.7,14.2,24.1,145.7,23.2,68.3,241.0,Woodland,Carnivore,Vertivore,Insessorial,1.0,5435.61,19.52,21.9,76.64,21.48,26.959218978881836,439.1304626464844,42.294498443603516,12.881750106811523,953.0
Athene brama,Strigidae,Strigiformes,19.7,7.5,11.3,25.6,153.0,29.2,74.2,112.0,Human Modified,Carnivore,Invertivore,Insessorial,1.0,5213398.06,8.07,34.13,82.93,21.94,27.08746910095215,482.1842346191406,42.700748443603516,13.073500633239746,1350.0
Athene noctua,Strigidae,Strigiformes,18.8,7.8,11.4,32.6,157.0,31.8,74.2,168.9,Human Modified,Carnivore,Omnivore,Insessorial,1.0,26742298.73,5.35,57.82,58.9,40.42,15.041718482971191,1194.01904296875,38.31024932861328,-5.335999965667725,99.0
Athene superciliaris,Strigidae,Strigiformes,25.4,9.7,14.5,36.1,194.0,27.6,118.2,231.0,Shrubland,Carnivore,Invertivore,Insessorial,1.0,415419.42,-25.61,-11.95,46.8,-19.41,18.588844299316406,209.63282775878906,26.38599967956543,8.261500358581543,1620.0
Bubo africanus,Strigidae,Strigiformes,38.3,12.3,19.4,61.9,311.4,30.8,175.9,645.0,Rock,Carnivore,Vertivore,Generalist,1.0,9185929.09,-34.84,25.39,27.06,-13.17,20.21161460876465,233.79647827148438,32.665000915527344,5.901000022888184,1115.0
Bubo ascalaphus,Strigidae,Strigiformes,39.8,13.0,20.0,75.9,362.0,34.5,187.0,2100.0,Desert,Carnivore,Vertivore,Insessorial,1.0,3200038.62,12.74,37.35,6.51,27.62,23.98981285095215,836.952880859375,42.83625030517578,3.7977499961853027,21.0
Bubo bengalensis,Strigidae,Strigiformes,45.2,13.2,20.7,73.1,378.8,36.5,190.2,1100.0,Rock,Carnivore,Vertivore,Insessorial,1.0,3283460.59,8.07,35.48,76.9,23.34,25.797094345092773,505.56744384765625,42.479251861572266,10.366000175476074,1122.0
Bubo blakistoni,Strigidae,Strigiformes,52.3,19.7,27.8,83.0,508.0,26.6,261.0,3850.0,Riverine,Carnivore,Aquatic predator,Insessorial,1.0,2289996.15,34.35,62.17,134.2,51.14,-5.893718719482422,1559.6944580078125,22.10099983215332,-35.05699920654297,794.0
Bubo bubo,Strigidae,Strigiformes,50.4,17.9,26.0,79.9,438.5,33.0,244.5,2668.5,Rock,Carnivore,Vertivore,Insessorial,1.0,31974373.19,22.18,69.57,80.8,49.31,3.1719789505004883,1346.00927734375,27.853500366210938,-19.617000579833984,340.0
Bubo capensis,Strigidae,Strigiformes,40.0,12.6,21.2,73.0,361.0,33.4,189.8,1118.6,Shrubland,Carnivore,Vertivore,Insessorial,1.0,1905194.15,-34.84,15.15,25.55,-23.74,20.97945785522461,436.80419921875,32.561500549316406,4.211750030517578,409.0
Bubo cinerascens,Strigidae,Strigiformes,37.0,11.6,17.1,63.3,299.4,32.9,161.8,500.0,Rock,Carnivore,Vertivore,Insessorial,1.0,9679896.35,-2.41,20.0,18.05,10.5,28.028135299682617,242.38987731933594,39.80550003051758,15.642749786376953,841.0
Bubo coromandus,Strigidae,Strigiformes,43.5,14.1,22.0,59.4,397.0,34.3,205.5,1392.2,Woodland,Carnivore,Vertivore,Insessorial,1.0,1428965.17,9.49,33.02,80.11,25.01,26.210323333740234,634.7164916992188,43.17900085449219,8.864500045776367,1023.0
Bubo lacteus,Strigidae,Strigiformes,53.8,15.9,27.8,75.1,435.4,29.6,217.8,2114.9,Woodland,Carnivore,Vertivore,Insessorial,1.0,11298632.02,-34.84,17.37,26.28,-4.94,24.781875610351562,38.840972900390625,31.779499053955078,17.358749389648438,1337.0
Bubo leucostictus,Strigidae,Strigiformes,32.3,10.8,16.4,46.8,313.6,33.8,188.0,532.5,Forest,Carnivore,Invertivore,Insessorial,1.0,2567896.43,-9.25,10.17,14.2,1.1,23.6822509765625,79.70551300048828,30.7137508392334,16.993749618530273,1659.0
Bubo magellanicus,Strigidae,Strigiformes,40.1,12.6,20.2,65.9,336.0,33.6,181.6,1166.4,Forest,Carnivore,Vertivore,Insessorial,1.0,2370543.59,-55.72,-5.46,-69.55,-36.06,8.54730224609375,532.5360107421875,24.72075080871582,-4.832499980926514,429.0
Bubo nipalensis,Strigidae,Strigiformes,54.2,19.2,28.6,69.0,426.0,27.9,219.2,1396.4,Forest,Carnivore,Vertivore,Insessorial,1.0,2384160.56,5.92,32.96,96.9,22.43,21.468124389648438,354.2240295410156,32.665000915527344,7.340000152587891,1684.0
Bubo philippensis,Strigidae,Strigiformes,47.5,16.4,23.8,67.5,341.2,23.4,166.8,532.5,Forest,Carnivore,Vertivore,Insessorial,1.0,224009.38,5.56,18.65,123.21,12.02,27.72913360595703,86.43850708007812,33.295162200927734,22.98588752746582,2220.0
Bubo poensis,Strigidae,Strigiformes,41.5,13.4,22.0,50.3,308.4,22.0,162.7,654.9,Forest,Carnivore,Vertivore,Insessorial,1.0,3809271.04,-10.95,9.7,14.38,1.99,23.497406005859375,67.06877899169922,31.033000946044922,16.50349998474121,1626.0
Bubo scandiacus,Strigidae,Strigiformes,44.3,14.9,22.1,62.2,418.8,41.1,215.0,2028.8,Grassland,Carnivore,Vertivore,Insessorial,3.0,5773405.49,52.33,83.63,-28.4,71.95,-11.879393577575684,806.7593383789062,2.4689102172851562,-24.02179527282715,636.0
Bubo shelleyi,Strigidae,Strigiformes,55.4,18.9,29.5,71.5,430.8,24.5,228.8,1257.0,Forest,Carnivore,Vertivore,Insessorial,1.0,1316503.9,-4.14,8.3,15.09,2.66,24.011707305908203,63.14085006713867,30.90424919128418,17.736249923706055,1612.0
Bubo virginianus,Strigidae,Strigiformes,44.7,17.8,25.4,75.4,371.2,30.4,197.0,1354.5,Forest,Carnivore,Vertivore,Insessorial,1.0,24426738.59,-35.8,68.52,-94.19,34.04,16.219707489013672,816.23828125,33.41474914550781,-1.7667499780654907,1355.0
Ciccaba albitarsis,Strigidae,Strigiformes,32.1,9.5,15.5,48.7,263.6,33.3,143.4,307.5,Forest,Carnivore,Omnivore,Insessorial,1.0,325371.54,-21.09,9.68,-73.69,-3.71,26.197145462036133,43.372989654541016,31.801000595092773,20.287500381469727,2768.0
Ciccaba huhula,Strigidae,Strigiformes,36.1,9.0,15.3,44.6,249.5,28.0,148.5,370.0,Forest,Carnivore,Invertivore,Insessorial,1.0,7366712.07,-27.97,8.49,-60.12,-6.08,26.963207244873047,35.921051025390625,33.27349853515625,20.897499084472656,2386.0
Ciccaba virgata,Strigidae,Strigiformes,33.0,9.0,16.1,40.6,240.6,20.8,149.1,284.0,Forest,Carnivore,Vertivore,Insessorial,1.0,10135669.69,-30.13,28.88,-64.89,-2.47,26.585479736328125,25.278614044189453,31.802000045776367,21.69875144958496,3637.0
Glaucidium albertinum,Strigidae,Strigiformes,19.3,7.9,11.2,25.1,130.2,18.3,73.9,73.0,Forest,Carnivore,Invertivore,Insessorial,1.0,32391.82,-4.6,0.41,28.82,-2.23,15.367166519165039,30.795578002929688,20.920000076293945,9.732250213623047,1878.0
Glaucidium bolivianum,Strigidae,Strigiformes,14.8,5.6,8.9,20.4,101.6,23.8,61.5,63.0,Forest,Carnivore,Omnivore,Insessorial,1.0,121188.27,-27.24,-6.32,-69.92,-15.46,9.390010833740234,132.54766845703125,17.914749145507812,-1.743499994277954,754.0
Glaucidium brasilianum,Strigidae,Strigiformes,15.1,6.1,10.7,17.2,93.8,17.7,62.8,63.3,Shrubland,Carnivore,Invertivore,Insessorial,1.0,14375175.98,-34.98,33.43,-61.15,-6.96,26.547353744506836,32.68011474609375,33.330501556396484,19.98900032043457,2558.0
Glaucidium brodiei,Strigidae,Strigiformes,20.5,6.7,10.6,16.7,92.6,20.7,50.4,59.4,Forest,Carnivore,Vertivore,Insessorial,1.0,2470997.29,-2.07,35.64,103.36,23.41,17.028989791870117,417.2579345703125,25.789249420166016,5.2230000495910645,1186.0
Glaucidium californicum,Strigidae,Strigiformes,13.3,6.0,8.9,20.0,93.5,26.6,67.8,70.5,Forest,Carnivore,Vertivore,Insessorial,2.0,1898663.75,30.26,58.4,-117.87,45.06,7.535791873931885,772.9551391601562,28.954750061035156,-7.796500205993652,389.0
Glaucidium capense,Strigidae,Strigiformes,18.2,7.5,11.2,25.6,139.2,29.1,79.5,122.0,Forest,Carnivore,Invertivore,Insessorial,1.0,4071921.71,-34.21,7.84,28.68,-13.88,20.119749069213867,282.2732849121094,31.812999725341797,6.76200008392334,1004.0
Glaucidium castanopterum,Strigidae,Strigiformes,19.0,8.2,13.1,22.1,139.6,25.6,69.6,198.2,Forest,Carnivore,Invertivore,Insessorial,1.0,50170.82,-8.85,-7.1,112.38,-7.85,19.31539535522461,54.18547821044922,23.91374969482422,13.904000282287598,2993.0
Glaucidium castanotum,Strigidae,Strigiformes,18.5,8.2,11.6,26.9,126.0,25.2,62.4,100.0,Forest,Carnivore,Invertivore,Insessorial,1.0,46677.71,6.04,9.51,80.79,7.62,24.717594146728516,110.33882141113281,30.526500701904297,18.436250686645508,2020.0
Glaucidium cobanense,Strigidae,Strigiformes,13.0,6.9,9.8,15.5,87.7,23.2,60.4,61.3,Forest,Carnivore,Invertivore,Insessorial,1.0,68465.71,13.97,16.85,-89.33,14.99,22.438697814941406,138.3869171142578,29.977249145507812,15.811750411987305,1513.0
Glaucidium costaricanum,Strigidae,Strigiformes,13.2,6.0,8.9,18.5,93.8,27.7,53.0,66.0,Forest,Carnivore,Invertivore,Insessorial,1.0,10616.37,8.72,10.33,-83.5,9.59,15.108416557312012,58.13106155395508,20.934499740600586,9.245750427246094,3019.0
Glaucidium cuculoides,Strigidae,Strigiformes,20.7,8.0,13.4,23.4,147.8,23.3,81.0,198.2,Forest,Carnivore,Invertivore,Insessorial,1.0,4612393.64,8.56,34.93,104.33,23.89,15.982229232788086,466.2960510253906,25.003000259399414,3.462249994277954,1166.0
Glaucidium gnoma,Strigidae,Strigiformes,14.1,4.9,9.6,17.4,87.8,19.8,62.5,61.3,Forest,Carnivore,Invertivore,Insessorial,1.0,585868.15,16.09,35.09,-103.88,23.69,16.483604431152344,338.7340087890625,29.979249954223633,1.9232499599456787,495.0
Glaucidium griseiceps,Strigidae,Strigiformes,13.4,5.9,9.4,17.8,90.4,26.2,52.2,50.6,Forest,Carnivore,Invertivore,Insessorial,1.0,270382.47,0.66,18.76,-87.49,14.43,18.384416580200195,166.39137268066406,26.648250579833984,10.445249557495117,1259.0
Glaucidium hardyi,Strigidae,Strigiformes,14.7,6.4,8.9,18.9,89.5,20.1,48.0,58.3,Forest,Carnivore,Invertivore,Insessorial,1.0,4691899.43,-16.48,7.03,-60.43,-6.14,26.964988708496094,34.46077346801758,33.230751037597656,20.98699951171875,2470.0
Glaucidium hoskinsii,Strigidae,Strigiformes,12.9,7.2,9.0,20.4,88.4,23.7,63.1,61.3,Forest,Carnivore,Invertivore,Insessorial,1.0,44146.11,22.87,28.22,-111.34,25.35,21.93932342529297,450.228271484375,35.960750579833984,8.267499923706055,226.0
Glaucidium jardinii,Strigidae,Strigiformes,14.5,7.0,9.0,21.4,99.6,25.6,65.6,66.9,Forest,Carnivore,Vertivore,Insessorial,1.0,205500.74,-13.22,11.01,-75.88,0.57,25.125572204589844,60.917537689208984,30.77899932861328,19.945499420166016,3661.0
Glaucidium minutissimum,Strigidae,Strigiformes,14.6,6.2,8.7,18.4,86.5,21.1,47.8,50.0,Forest,Carnivore,Invertivore,Insessorial,1.0,1209018.27,-26.55,-13.85,-46.99,-20.7,20.445884704589844,219.9959716796875,27.36174964904785,9.741499900817871,1524.0
Glaucidium nana,Strigidae,Strigiformes,16.5,6.0,9.4,18.3,95.2,15.7,68.5,73.7,Shrubland,Carnivore,Vertivore,Insessorial,2.0,656548.54,-55.98,-32.35,-71.85,-45.06,5.4522809982299805,418.8079528808594,15.814749717712402,-3.7332499027252197,1011.0
Glaucidium nubicola,Strigidae,Strigiformes,14.8,8.2,9.6,16.9,92.0,7.6,44.5,77.5,Forest,Carnivore,Omnivore,Insessorial,1.0,6915.65,-3.64,5.46,-77.43,2.4,16.81418800354004,31.332860946655273,21.885250091552734,11.896249771118164,2671.0
Glaucidium palmarum,Strigidae,Strigiformes,13.4,5.8,9.2,17.2,81.5,14.1,59.5,45.7,Forest,Carnivore,Vertivore,Insessorial,1.0,226441.5,15.92,29.64,-103.92,21.57,21.341176986694336,261.60992431640625,34.283748626708984,8.157750129699707,834.0
Glaucidium parkeri,Strigidae,Strigiformes,14.3,6.8,9.3,19.9,93.9,23.6,49.3,61.4,Forest,Carnivore,Vertivore,Insessorial,1.0,29014.24,-13.5,1.16,-76.25,-7.11,26.071332931518555,40.670326232910156,32.57500076293945,19.313499450683594,1374.0
Glaucidium passerinum,Strigidae,Strigiformes,14.3,6.1,9.1,15.4,101.2,25.9,58.6,57.9,Forest,Carnivore,Vertivore,Insessorial,2.0,11366077.56,41.14,69.05,79.69,56.73,-0.14920832216739655,1359.6810302734375,25.3125,-23.361499786376953,456.0
Glaucidium perlatum,Strigidae,Strigiformes,15.0,7.2,10.1,22.3,110.4,24.5,78.2,79.2,Shrubland,Carnivore,Invertivore,Insessorial,1.0,11923401.87,-30.27,17.6,22.29,-2.11,24.419208526611328,47.27198028564453,30.059499740600586,18.867250442504883,1926.0
Glaucidium peruanum,Strigidae,Strigiformes,15.3,6.5,10.3,21.9,94.2,19.9,63.8,62.4,Shrubland,Carnivore,Omnivore,Insessorial,1.0,334618.81,-20.54,0.02,-76.87,-9.64,6.490499973297119,80.2607192993164,13.946749687194824,-3.072499990463257,866.0
Glaucidium radiatum,Strigidae,Strigiformes,16.9,7.0,10.5,24.5,123.2,26.9,65.4,101.0,Woodland,Carnivore,Invertivore,Insessorial,1.0,2186922.27,6.62,30.12,80.27,20.48,26.741594314575195,465.8453369140625,41.88850021362305,12.60675048828125,1548.0
Glaucidium sanchezi,Strigidae,Strigiformes,14.3,7.7,9.9,19.1,87.5,20.0,55.5,55.0,Forest,Carnivore,Omnivore,Insessorial,1.0,27181.76,20.88,24.88,-98.9,22.87,24.90609359741211,408.0169982910156,35.334251403808594,11.99524974822998,1013.0
Glaucidium siju,Strigidae,Strigiformes,15.1,6.2,9.2,21.3,97.2,23.4,62.0,69.5,Forest,Carnivore,Invertivore,Insessorial,1.0,109364.76,19.83,23.19,-79.01,21.61,25.860652923583984,199.8173828125,32.98868942260742,17.78687858581543,1239.0
Glaucidium sjostedti,Strigidae,Strigiformes,21.0,9.0,13.1,27.2,158.0,23.3,90.0,139.0,Forest,Carnivore,Invertivore,Insessorial,1.0,1369630.82,-5.61,6.75,16.5,0.61,24.97382354736328,60.267974853515625,30.952499389648438,19.741500854492188,1653.0
Glaucidium tephronotum,Strigidae,Strigiformes,16.0,5.5,9.8,22.3,102.8,11.0,65.0,87.4,Forest,Carnivore,Invertivore,Insessorial,1.0,2054685.26,-5.86,8.69,16.09,2.15,24.99448013305664,62.73033142089844,31.400249481201172,19.482749938964844,1611.0
Glaucidium tucumanum,Strigidae,Strigiformes,14.5,8.3,10.2,20.4,95.1,18.2,65.1,57.5,Shrubland,Carnivore,Invertivore,Insessorial,1.0,448119.82,-32.58,-21.75,-61.83,-27.2,21.20757293701172,457.3183898925781,34.355499267578125,7.407500267028809,796.0
Jubula lettii,Strigidae,Strigiformes,27.8,8.9,13.0,35.7,265.0,26.4,158.1,183.0,Forest,Carnivore,Invertivore,Insessorial,1.0,2256025.42,-6.77,7.58,16.83,0.77,25.036041259765625,59.42285919189453,31.115249633789062,19.780500411987305,1665.0
Ketupa flavipes,Strigidae,Strigiformes,48.8,16.5,22.7,78.4,432.8,25.8,206.8,2315.0,Riverine,Carnivore,Aquatic predator,Insessorial,1.0,2648554.3,8.56,35.86,109.28,26.34,16.111604690551758,770.932373046875,30.171749114990234,1.4544999599456787,1299.0
Lophostrix cristata,Strigidae,Strigiformes,34.3,10.1,16.2,46.0,309.6,18.1,183.2,538.7,Forest,Carnivore,Invertivore,Insessorial,1.0,5025098.51,-17.04,19.21,-64.51,-3.43,26.721467971801758,27.300046920776367,32.074249267578125,21.889999389648438,2603.0
Margarobyas lawrencii,Strigidae,Strigiformes,20.0,6.5,10.8,33.5,143.8,25.2,76.8,95.2,Forest,Carnivore,Invertivore,Insessorial,1.0,109791.53,19.83,23.19,-79.0,21.62,25.785362243652344,199.35104370117188,32.980262756347656,17.526973724365234,1165.0
Megascops albogularis,Strigidae,Strigiformes,22.7,7.7,11.4,34.6,196.2,24.6,111.0,159.0,Forest,Carnivore,Invertivore,Insessorial,1.0,244881.91,-17.7,10.77,-75.44,-3.0,25.784854888916016,48.670963287353516,31.51275062561035,19.794750213623047,2698.0
Megascops asio,Strigidae,Strigiformes,22.0,6.4,11.8,35.5,168.5,28.8,77.5,180.0,Woodland,Carnivore,Invertivore,Insessorial,1.0,4938942.17,21.45,50.06,-91.47,38.29,12.58302116394043,948.0519409179688,31.768749237060547,-7.164249897003174,1030.0
Megascops atricapilla,Strigidae,Strigiformes,21.9,7.6,11.3,33.5,171.0,25.0,95.5,118.9,Forest,Carnivore,Invertivore,Insessorial,1.0,990012.51,-29.15,-8.81,-49.69,-22.72,20.79448890686035,272.3746337890625,29.745500564575195,9.780500411987305,1334.0
Megascops barbarus,Strigidae,Strigiformes,17.7,6.6,9.7,26.0,136.0,29.0,65.7,69.0,Forest,Carnivore,Invertivore,Insessorial,1.0,18360.29,14.98,17.06,-91.39,16.01,22.89183235168457,154.400146484375,31.475000381469727,14.851499557495117,2721.0
Megascops choliba,Strigidae,Strigiformes,21.8,7.0,11.7,30.0,162.8,21.0,91.3,132.0,Human Modified,Carnivore,Invertivore,Insessorial,1.0,13065137.78,-34.98,12.46,-57.67,-9.8,25.798030853271484,44.448936462402344,34.81650161743164,17.0882511138916,1984.0
Megascops clarkii,Strigidae,Strigiformes,22.2,8.1,11.3,38.9,180.8,27.2,90.0,158.5,Forest,Carnivore,Invertivore,Insessorial,1.0,9927.9,7.5,10.79,-82.81,9.37,23.78288459777832,65.66133117675781,29.315250396728516,18.37274932861328,3069.0
Megascops colombianus,Strigidae,Strigiformes,24.5,7.0,12.7,38.0,195.5,29.0,99.1,153.0,Forest,Carnivore,Omnivore,Insessorial,1.0,13694.16,-0.23,6.15,-77.27,2.41,19.101469039916992,31.465486526489258,24.846250534057617,13.7524995803833,2444.0
Megascops cooperi,Strigidae,Strigiformes,23.8,8.5,12.2,38.7,175.5,24.5,81.0,149.9,Woodland,Carnivore,Invertivore,Insessorial,1.0,78738.89,9.55,16.78,-88.92,13.29,26.186567306518555,69.34712219238281,31.870149612426758,20.110448837280273,1894.0
Megascops gilesi,Strigidae,Strigiformes,21.8,7.0,11.7,30.0,162.8,21.0,91.3,132.0,Human Modified,Carnivore,Invertivore,Insessorial,1.0,4488.8,10.68,11.19,-73.69,10.95,9.855999946594238,71.3436508178711,14.921250343322754,3.6535000801086426,1691.0
Megascops hoyi,Strigidae,Strigiformes,22.2,7.7,11.4,31.8,170.7,27.4,90.8,110.0,Forest,Carnivore,Invertivore,Insessorial,1.0,54416.26,-27.29,-17.78,-64.62,-22.39,20.871572494506836,374.2804870605469,30.83074951171875,8.469499588012695,1048.0
Megascops ingens,Strigidae,Strigiformes,24.3,7.6,11.3,34.8,194.3,27.7,100.7,165.3,Forest,Carnivore,Invertivore,Insessorial,1.0,171538.44,-18.47,11.03,-73.1,-8.25,25.33772850036621,54.66672134399414,31.385499954223633,18.616500854492188,2059.0
Megascops kennicottii,Strigidae,Strigiformes,24.4,6.8,12.7,39.9,176.8,27.1,85.2,141.8,Forest,Carnivore,Invertivore,Insessorial,1.0,3582764.44,18.38,61.54,-114.58,38.73,8.408145904541016,840.2294311523438,30.293249130249023,-9.097999572753906,276.0
Megascops koepckeae,Strigidae,Strigiformes,21.6,7.6,11.1,35.2,171.2,24.7,89.5,116.9,Forest,Carnivore,Invertivore,Insessorial,1.0,160334.46,-14.53,-5.73,-75.64,-10.92,11.201552391052246,72.4922103881836,18.107250213623047,2.2072501182556152,885.0
Megascops marshalli,Strigidae,Strigiformes,21.2,6.4,9.8,32.2,162.2,25.9,83.1,110.0,Forest,Carnivore,Invertivore,Insessorial,1.0,24727.09,-17.37,-10.06,-71.64,-13.46,9.741812705993652,142.21578979492188,19.131500244140625,-2.7587499618530273,611.0
Megascops nudipes,Strigidae,Strigiformes,22.5,7.9,11.4,38.4,165.6,20.9,92.4,137.3,Forest,Carnivore,Invertivore,Insessorial,1.0,9247.43,17.68,18.52,-66.39,18.22,22.380332946777344,139.58489990234375,28.938499450683594,15.071249961853027,1962.0
Megascops petersoni,Strigidae,Strigiformes,20.1,6.9,10.8,31.8,161.2,21.4,88.8,97.5,Forest,Carnivore,Invertivore,Insessorial,1.0,18835.64,-5.7,6.56,-77.61,-1.76,23.630760192871094,47.82337188720703,29.131250381469727,18.212749481201172,4013.0
Megascops roboratus,Strigidae,Strigiformes,22.6,6.7,10.9,36.3,164.8,25.4,86.3,126.7,Woodland,Carnivore,Invertivore,Insessorial,1.0,79303.5,-7.1,-1.18,-80.08,-4.55,23.503250122070312,111.17967224121094,30.631000518798828,15.323749542236328,418.0
Megascops sanctaecatarinae,Strigidae,Strigiformes,19.4,7.3,11.7,30.1,200.7,18.8,102.3,179.7,Woodland,Carnivore,Invertivore,Insessorial,1.0,418281.17,-31.84,-25.57,-53.0,-28.67,18.724468231201172,377.1357727050781,29.15999984741211,8.50825023651123,1617.0
Megascops seductus,Strigidae,Strigiformes,23.6,7.8,12.4,41.0,173.9,26.4,92.8,160.0,Woodland,Carnivore,Invertivore,Insessorial,1.0,90735.21,17.26,19.99,-100.73,18.62,27.527437210083008,192.70272827148438,39.80424880981445,15.972249984741211,999.0
Megascops trichopsis,Strigidae,Strigiformes,19.7,5.1,10.1,24.9,148.8,24.2,77.2,88.3,Forest,Carnivore,Invertivore,Insessorial,1.0,660977.77,12.76,31.89,-101.61,22.14,16.215740203857422,286.16656494140625,29.20924949645996,2.4194998741149902,414.0
Megascops vermiculatus,Strigidae,Strigiformes,20.9,7.4,11.5,28.9,159.1,25.8,79.7,118.0,Forest,Carnivore,Invertivore,Insessorial,1.0,429930.99,-14.54,11.16,-73.7,0.8,25.815427780151367,76.2249755859375,31.671001434326172,20.281749725341797,2579.0
